CUSTOMER -> | id customer:39 | n. bought products:86 | time in the supermarket: 24.605 s | time in queue: 24.418 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:77 | n. bought products:64 | time in the supermarket: 16.384 s | time in queue: 16.329 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:133 | n. bought products:89 | time in the supermarket: 1.985 s | time in queue: 1.854 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:134 | n. bought products:95 | time in the supermarket: 2.099 s | time in queue: 1.941 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:75 | n. bought products:29 | time in the supermarket: 16.999 s | time in queue: 16.801 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:135 | n. bought products:25 | time in the supermarket: 1.964 s | time in queue: 1.953 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:91 | n. bought products:64 | time in the supermarket: 12.232 s | time in queue: 12.106 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:53 | n. bought products:86 | time in the supermarket: 24.389 s | time in queue: 24.357 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:136 | n. bought products:55 | time in the supermarket: 3.138 s | time in queue: 3.098 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:138 | n. bought products:90 | time in the supermarket: 2.032 s | time in queue: 1.934 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:56 | n. bought products:28 | time in the supermarket: 24.760 s | time in queue: 24.620 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:140 | n. bought products:1 | time in the supermarket: 2.092 s | time in queue: 1.916 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:79 | n. bought products:76 | time in the supermarket: 17.300 s | time in queue: 17.165 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:93 | n. bought products:76 | time in the supermarket: 12.853 s | time in queue: 12.673 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:100 | n. bought products:12 | time in the supermarket: 12.006 s | time in queue: 11.979 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:94 | n. bought products:6 | time in the supermarket: 13.025 s | time in queue: 12.840 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:58 | n. bought products:39 | time in the supermarket: 23.888 s | time in queue: 23.868 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:102 | n. bought products:23 | time in the supermarket: 11.754 s | time in queue: 11.694 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:60 | n. bought products:23 | time in the supermarket: 23.570 s | time in queue: 23.517 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:98 | n. bought products:77 | time in the supermarket: 14.063 s | time in queue: 13.917 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:62 | n. bought products:34 | time in the supermarket: 24.327 s | time in queue: 24.193 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:118 | n. bought products:7 | time in the supermarket: 9.535 s | time in queue: 9.453 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:104 | n. bought products:83 | time in the supermarket: 13.447 s | time in queue: 13.307 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:105 | n. bought products:13 | time in the supermarket: 12.846 s | time in queue: 12.654 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:76 | n. bought products:34 | time in the supermarket: 21.330 s | time in queue: 21.311 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:119 | n. bought products:65 | time in the supermarket: 10.887 s | time in queue: 10.802 s | n. queues checked: 1 | 
CUSTOMER -> | id customer:109 | n. bought products:36 | time in the supermarket: 13.428 s | time in queue: 13.298 s | n. queues checked: 1 | 
